multiplier,run,max_length,shift,time
1,1,4,33,0.0000040
1,2,4,33,0.0000020
1,3,4,33,0.0000030
1,4,4,33,0.0000030
1,5,4,33,0.0000030
2,1,1,33,0.0000030
2,2,1,33,0.0000020
2,3,1,33,0.0000020
2,4,1,33,0.0000030
2,5,1,33,0.0000030
3,1,1,33,0.0000020
3,2,1,33,0.0000020
3,3,1,33,0.0000030
3,4,1,33,0.0000030
3,5,1,33,0.0000030
4,1,1,33,0.0000030
4,2,1,33,0.0000030
4,3,1,33,0.0000020
4,4,1,33,0.0000030
4,5,1,33,0.0000020
