data_file,multiplier,mean_kmp,std_error_kmp,mean_brute_force,std_error_brute_force,t_stat,p_value
htt_01,1,1.08733e-07,8.994566467425596e-09,1.46744e-07,6.111958645403544e-08,-0.6152849840022759,0.5385008509437375
htt_01,2,1.08169e-07,1.8794064508795345e-09,8.269399999999999e-08,3.085961691200906e-10,13.375698048987754,8.44264148446239e-38
htt_01,3,1.34779e-07,2.076110882249644e-09,6.548e-08,2.2634228688168476e-10,33.182619035640904,1.793978109274369e-164
htt_01,4,1.4961099999999998e-07,1.765171807646641e-09,5.0130999999999994e-08,2.563973061063212e-10,55.7718384634454,5.551115453e-315
htt_01,5,1.47703e-07,1.2666622376246259e-09,2.5545e-08,2.4086508877583526e-10,94.74312821376103,0.0
htt_01,6,1.5009399999999997e-07,2.469780350350812e-09,2.6068e-08,3.1638184757263406e-10,49.81039192008946,9.536094559745726e-277
htt_01,7,1.8542299999999998e-07,2.1355333229836465e-09,2.5572999999999997e-08,2.25089618455264e-10,74.44013845209876,0.0
htt_02,1,3.24036e-07,1.5267290544184995e-09,2.5595699999999994e-07,1.108214460422842e-09,36.08665924018913,1.206909110480932e-215
htt_02,2,3.58345e-07,9.300053385221399e-09,2.47832e-07,7.419516616790263e-10,11.84541339874748,2.0915897099343217e-30
htt_02,3,3.597e-07,9.665682874242536e-10,2.1725500000000002e-07,7.296385045673969e-10,117.62169419473236,0.0
htt_02,4,2.8847399999999994e-07,2.408187012814555e-09,1.9123700000000003e-07,6.314154864402017e-10,39.057460879516285,3.138726019359092e-212
htt_02,5,2.35636e-07,1.039867697752377e-09,1.5198400000000002e-07,6.774191026540665e-10,67.4038560413342,0.0
htt_02,6,2.49426e-07,9.028242440340288e-10,1.41788e-07,5.80610165398578e-10,100.27709075390601,0.0
htt_02,7,2.6610699999999996e-07,9.457145060360062e-10,1.3340100000000002e-07,5.219738074421509e-10,122.85314677424782,0.0
